idamostra;idade1;hdom1;licl4;lscl4;lscl3;lscl2;lscl1;is;nmudou;nis;s
146;64,16;24,05626045;19,92215818;22,47899607;25,08913039;27,74892576;30,45526728;3;1;3;25,7
146;73,19;26,19525797;22,54589085;24,82308826;27,09402689;29,35926286;31,61926247;3;1;3;25,7
147;40,97;15,91812106;11,7220994;14,69294309;18,04513337;21,78840353;25,93189817;3;2;3;25,7
147;51,51;22,38485774;15,67751719;18,55014962;21,61843549;24,87710378;28,32144594;2;2;3;25,7
147;64,16;23,40958678;19,92215818;22,47899607;25,08913039;27,74892576;30,45526728;3;2;3;25,7
147;73,19;24,50395761;22,54589085;24,82308826;27,09402689;29,35926286;31,61926247;4;2;3;25,7
148;24,87;14,98293145;5,507265416;8,018235494;11,28498158;15,43974928;20,62411938;2;1;2;28
148;38,14;20,15632079;10,61992618;13,57458564;16,97119573;20,82918336;25,1671156;2;1;2;28
148;48,69;25,92663968;14,64985199;17,56874014;20,72659712;24,11985157;27,74527547;1;1;1;30,3
148;61,33;28,15517662;19,0285961;21,66697609;24,38380742;27,17434847;30,03450393;1;1;1;30,3
148;70,37;28,70236204;21,76384785;24,13034822;26,50614511;28,89046686;31,28266237;2;1;2;28
149;24,87;12,85388276;5,507265416;8,018235494;11,28498158;15,43974928;20,62411938;2;1;2;28
149;38,14;21,25069162;10,61992618;13,57458564;16,97119573;20,82918336;25,1671156;1;1;1;30,3
149;48,69;24,19554401;14,64985199;17,56874014;20,72659712;24,11985157;27,74527547;1;1;1;30,3
149;61,33;27,09065228;19,0285961;21,66697609;24,38380742;27,17434847;30,03450393;2;1;2;28
149;70,37;29,77683521;21,76384785;24,13034822;26,50614511;28,89046686;31,28266237;1;1;1;30,3
150;24,87;13,5304029;5,507265416;8,018235494;11,28498158;15,43974928;20,62411938;2;1;2;28
150;38,14;20,95222685;10,61992618;13,57458564;16,97119573;20,82918336;25,1671156;1;1;1;30,3
150;48,69;24,43431583;14,64985199;17,56874014;20,72659712;24,11985157;27,74527547;1;1;1;30,3
150;61,33;26,69269925;19,0285961;21,66697609;24,38380742;27,17434847;30,03450393;2;1;2;28
150;70,37;29,02072446;21,76384785;24,13034822;26,50614511;28,89046686;31,28266237;1;1;1;30,3
151;25,13;14,42579721;5,602696893;8,129442593;11,40609869;15,56116778;20,7318166;2;1;2;28
151;38,76;21,90731411;10,86216522;13,82227912;17,21071469;21,04448432;25,33978402;1;1;1;30,3
151;49,21;24,72283177;14,84129337;17,75257283;20,89448757;24,26305843;27,85469685;1;1;1;30,3
151;61,33;27,68758182;19,0285961;21,66697609;24,38380742;27,17434847;30,03450393;1;1;1;30,3
151;72,9;28,93118503;22,46702501;24,75344683;27,03509536;29,31239196;31,58569016;2;1;2;28
151;81,18;31,13982432;24,58073189;26,60378642;28,5885901;30,53908285;32,45851919;1;1;1;30,3
152;25,13;14,07758831;5,602696893;8,129442593;11,40609869;15,56116778;20,7318166;2;1;2;28
152;38,76;21,34023105;10,86216522;13,82227912;17,21071469;21,04448432;25,33978402;1;1;1;30,3
152;49,21;26,06592324;14,84129337;17,75257283;20,89448757;24,26305843;27,85469685;1;1;1;30,3
152;61,33;27,23988466;19,0285961;21,66697609;24,38380742;27,17434847;30,03450393;1;1;1;30,3
152;72,9;29,19980332;22,46702501;24,75344683;27,03509536;29,31239196;31,58569016;2;1;2;28
152;81,18;31,1696708;24,58073189;26,60378642;28,5885901;30,53908285;32,45851919;1;1;1;30,3
153;38,76;22,60373191;10,86216522;13,82227912;17,21071469;21,04448432;25,33978402;1;1;1;30,3
153;49,21;24,37462287;14,84129337;17,75257283;20,89448757;24,26305843;27,85469685;1;1;1;30,3
153;61,33;27,55824709;19,0285961;21,66697609;24,38380742;27,17434847;30,03450393;1;1;1;30,3
153;72,9;29,24954745;22,46702501;24,75344683;27,03509536;29,31239196;31,58569016;2;1;2;28
153;81,18;31,21941493;24,58073189;26,60378642;28,5885901;30,53908285;32,45851919;1;1;1;30,3
154;24,93;12,00823257;5,529257208;8,043896359;11,31296252;15,46783054;20,64905238;2;1;2;28
154;38,57;19,54944243;10,78796744;13,7465281;17,13756692;20,9788177;25,28718329;2;1;2;28
154;49,01;22,68332251;14,76776245;17,68202028;20,8300999;24,20817351;27,81278607;2;1;2;28
154;61,14;26,46387626;18,96740386;21,61109485;24,33505226;27,13446877;30,00518992;2;1;2;28
154;72,7;29,3490357;22,41242733;24,70520669;26,99425203;29,27989146;31,5624004;1;1;1;30,3
154;80,98;29,57785869;24,5329933;26,56235389;28,55407636;30,51202563;32,43939533;2;1;2;28
155;24,93;14,49543899;5,529257208;8,043896359;11,31296252;15,46783054;20,64905238;2;1;2;28
155;38,57;21,16115218;10,78796744;13,7465281;17,13756692;20,9788177;25,28718329;1;1;1;30,3
155;49,01;26,6330063;14,76776245;17,68202028;20,8300999;24,20817351;27,81278607;1;1;1;30,3
155;61,14;28,35415314;18,96740386;21,61109485;24,33505226;27,13446877;30,00518992;1;1;1;30,3
155;72,7;29,89622112;22,41242733;24,70520669;26,99425203;29,27989146;31,5624004;1;1;1;30,3
155;80,98;30,67222952;24,5329933;26,56235389;28,55407636;30,51202563;32,43939533;1;1;1;30,3
156;25,72;12,7941898;5,820501908;8,381860312;11,67963872;15,83413426;20,97291325;2;0;2;28
156;38,47;18,78338285;10,74890245;13,70660385;17,09897823;20,94414559;25,25938775;2;0;2;28
156;62,98;26,41413213;19,55366799;22,14502605;24,7997488;27,51371394;30,28337785;2;0;2;28
156;79,3;29,86637464;24,12560521;26,20812584;28,25850377;30,27995197;32,27513312;2;0;2;28
157;38,47;22,24557418;10,74890245;13,70660385;17,09897823;20,94414559;25,25938775;1;0;1;30,3
157;62,98;28,80185029;19,55366799;22,14502605;24,7997488;27,51371394;30,28337785;1;0;1;30,3
157;79,3;31,68700974;24,12560521;26,20812584;28,25850377;30,27995197;32,27513312;1;0;1;30,3
158;24,84;12,93347336;5,496276544;8,005405648;11,2709842;15,42569476;20,61163483;2;0;2;28
158;40,6;20,63386442;11,57859027;14,54854821;17,90753606;21,66637105;25,83523795;2;0;2;28
158;48,65;22,5241413;14,63509079;17,5545459;20,71361743;24,10876736;27,73679718;2;0;2;28
158;61,47;25,79730494;19,07358911;21,70804134;24,41961791;27,20362646;30,05601585;2;0;2;28
158;75;29,44852396;23,03010186;25,2496137;27,45415209;29,64509984;31,82361223;2;0;2;28
159;40,6;19,18133588;11,57859027;14,54854821;17,90753606;21,66637105;25,83523795;2;1;2;28
159;48,65;22,92209433;14,63509079;17,5545459;20,71361743;24,10876736;27,73679718;2;1;2;28
159;61,47;26,88172694;19,07358911;21,70804134;24,41961791;27,20362646;30,05601585;2;1;2;28
159;75;30,86125721;23,03010186;25,2496137;27,45415209;29,64509984;31,82361223;1;1;1;30,3
160;25,79;11,56053542;5,846453929;8,411810466;11,71197119;15,86628582;21,00121895;3;1;3;25,7
160;41,56;18,56450869;11,95048477;14,92201832;18,26280265;21,98094584;26,08404019;2;1;2;28
160;49,61;20,39509261;14,98797362;17,89310532;21,02256915;24,37210324;27,93787064;3;1;3;25,7
160;62,42;24,92180828;19,3767394;21,98422967;24,66007077;27,39992123;30,20004312;2;1;2;28
160;75,95;28,12533015;23,27873907;25,46793773;27,63795774;29,79060411;31,927382;2;1;2;28
161;41,56;21,27058927;11,95048477;14,92201832;18,26280265;21,98094584;26,08404019;2;1;2;28
161;49,61;23,59861447;14,98797362;17,89310532;21,02256915;24,37210324;27,93787064;2;1;2;28
161;62,42;27,58809356;19,3767394;21,98422967;24,66007077;27,39992123;30,20004312;1;1;1;30,3
161;75,95;30,64238304;23,27873907;25,46793773;27,63795774;29,79060411;31,927382;1;1;1;30,3
162;41,56;20,09662784;11,95048477;14,92201832;18,26280265;21,98094584;26,08404019;2;0;2;28
162;49,61;22,62362956;14,98797362;17,89310532;21,02256915;24,37210324;27,93787064;2;0;2;28
162;62,42;26,01617911;19,3767394;21,98422967;24,66007077;27,39992123;30,20004312;2;0;2;28
162;75,95;29,00082681;23,27873907;25,46793773;27,63795774;29,79060411;31,927382;2;0;2;28
163;25,3;15,32119152;5,665279584;8,202166705;11,48510182;15,64018251;20,80175079;2;0;2;28
163;38,01;20,39509261;10,56909298;13,52246635;16,92067178;20,7836649;25,13053398;2;0;2;28
163;49,84;23,03153141;15,07208165;17,97356508;21,09579841;24,43436893;27,98530778;2;0;2;28
163;61,1;25,86694672;18,95450218;21,59930837;24,32476521;27,12605166;29,99900099;2;0;2;28
164;38,01;21,34023105;10,56909298;13,52246635;16,92067178;20,7836649;25,13053398;1;1;1;30,3
164;49,84;23,35984266;15,07208165;17,97356508;21,09579841;24,43436893;27,98530778;2;1;2;28
164;61,1;26,88172694;18,95450218;21,59930837;24,32476521;27,12605166;29,99900099;2;1;2;28
165;23,65;13,99799771;5,064357125;7,496968747;10,71210882;14,86066084;20,10651003;2;0;2;28
165;36,37;19,25097766;9,926946535;12,85969336;16,27429124;20,19807984;24,65749592;2;0;2;28
165;48,19;22,73306664;14,46498382;17,39076689;20,56368106;23,98059224;27,63866132;2;0;2;28
165;59,46;25,38940309;18,41984658;21,10945331;23,89609987;26,77445912;29,73990388;2;0;2;28
166;36,37;18,7236899;9,926946535;12,85969336;16,27429124;20,19807984;24,65749592;2;0;2;28
166;48,19;21,76803055;14,46498382;17,39076689;20,56368106;23,98059224;27,63866132;2;0;2;28
166;59,46;25,02129654;18,41984658;21,10945331;23,89609987;26,77445912;29,73990388;2;0;2;28
167;23,62;13,31152874;5,053573438;7,484167274;10,69792942;14,84622455;20,0935209;2;1;2;28
167;36,33;20,41499026;9,911270906;12,84340987;16,25831752;20,18353098;24,64568524;1;1;1;30,3
167;48,16;22,86240137;14,45386751;17,38005085;20,55385971;23,97218765;27,63222031;2;1;2;28
167;59,43;25,49884017;18,40996348;21,10037203;23,88813198;26,76790802;29,73506544;2;1;2;28
168;36,33;18,53466221;9,911270906;12,84340987;16,25831752;20,18353098;24,64568524;2;0;2;28
168;48,16;21,29048692;14,45386751;17,38005085;20,55385971;23,97218765;27,63222031;2;0;2;28
168;59,43;24,87206416;18,40996348;21,10037203;23,88813198;26,76790802;29,73506544;2;0;2;28
169;20,76;12,48577621;4,053023816;6,27075969;9,327353504;13,42538025;18,79347211;2;1;2;28
169;32,33;18,16655566;8,345836293;11,18979215;14,61109947;18,66189385;23,39412546;2;1;2;28
169;45,57;24,0761581;13,48437763;16,43901198;19,68595533;23,22518366;27,0566749;1;1;1;30,3
169;70,66;30,44340653;21,84583109;24,20319839;26,56814507;28,94003725;31,31834048;1;1;1;30,3
170;20,76;11,26207065;4,053023816;6,27075969;9,327353504;13,42538025;18,79347211;2;1;2;28
170;32,33;16,61453886;8,345836293;11,18979215;14,61109947;18,66189385;23,39412546;2;1;2;28
170;45,57;24,02641397;13,48437763;16,43901198;19,68595533;23,22518366;27,0566749;1;1;1;30,3
170;70,66;30,51304831;21,84583109;24,20319839;26,56814507;28,94003725;31,31834048;1;1;1;30,3
171;20,76;11,07304296;4,053023816;6,27075969;9,327353504;13,42538025;18,79347211;2;1;2;28
171;32,33;17,23136605;8,345836293;11,18979215;14,61109947;18,66189385;23,39412546;2;1;2;28
171;45,57;23,84733511;13,48437763;16,43901198;19,68595533;23,22518366;27,0566749;1;1;1;30,3
171;70,66;29,82657934;21,84583109;24,20319839;26,56814507;28,94003725;31,31834048;1;1;1;30,3
172;20,5;11,07304296;3,965062956;6,161411531;9,201045175;13,29173764;18,66887516;2;1;2;28
172;32,06;16,91300363;8,240638746;11,07656714;14,49638336;18,5542695;23,30433354;2;1;2;28
172;45,3;23,59861447;13,38226048;16,33912475;19,5931841;23,14482235;26,99439191;1;1;1;30,3
172;70,4;29,15005919;21,7723455;24,13790174;26,51257558;28,8956096;31,28636479;1;1;1;30,3
173;20,66;13,33142639;4,01912785;6,22867834;9,27880435;13,37406938;18,74568361;2;1;2;28
173;33,25;19,75836777;8,704957935;11,57421408;14,99865677;19,02384309;23,69483855;1;1;1;30,3
173;44,91;24,01646515;13,23443263;16,19425674;19,45840941;23,02789558;26,90363974;1;1;1;30,3
173;57,69;27,38911705;17,83050609;20,56621568;23,41809352;26,38041013;29,44816062;1;1;1;30,3
173;69,38;29,53806339;21,48127156;23,87883276;26,29176532;28,71882671;31,15896617;1;1;1;30,3
