"";"idamostra";"idade1";"hdom1";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
"467";121;82,56;30,5428947838442;24,9057612121637;26,8854587058844;28,822906807345;30,7225474040631;32,5880412568704;2;1;2
"468";122;22,17;14,0875371380858;4,53915202320003;6,86693222701848;10,0075577221907;14,137011306903;19,4500785709043;2;1;2
"469";122;35,05;21,7083375955531;9,40959217662536;12,3195261537823;15,7419283832588;19,7111264545746;24,2606232768848;1;1;1
"470";122;46,68;24,4741111297254;13,9021737679856;16,846138301148;20,0627768811215;23,5505685276303;27,3081259088493;1;1;1
"471";122;61,17;29,1003150627832;18,9770757616658;21,6199296804669;24,3427623461131;27,1407767123892;30,0098276035931;1;1;1
"472";122;69,84;29,299291576033;21,6130897867672;23,9962426121963;26,391902779299;28,799046541189;31,2168090732562;1;1;1
"473";122;82,19;31,0900801952812;24,8193614795469;26,8106556907029;28,7607339805735;30,6739063494576;32,5537270167962;1;1;1
"474";122;86,53;32,5326599163422;25,7989895363278;27,655820533636;29,4609563997153;31,2201265690772;32,9380240037944;1;1;1
"475";123;22,17;14,1870253947107;4,53915202320003;6,86693222701848;10,0075577221907;14,137011306903;19,4500785709043;1;0;1
"476";123;35,05;20,6935573779792;9,40959217662536;12,3195261537823;15,7419283832588;19,7111264545746;24,2606232768848;1;0;1
"477";123;46,68;26,2648997489735;13,9021737679856;16,846138301148;20,0627768811215;23,5505685276303;27,3081259088493;1;0;1
"478";123;61,17;28,7819526415835;18,9770757616658;21,6199296804669;24,3427623461131;27,1407767123892;30,0098276035931;1;0;1
"479";123;69,84;30,1747882343321;21,6130897867672;23,9962426121963;26,391902779299;28,799046541189;31,2168090732562;1;0;1
"480";123;82,19;31,5377773500932;24,8193614795469;26,8106556907029;28,7607339805735;30,6739063494576;32,5537270167962;1;0;1
"481";123;86,53;32,1844510181551;25,7989895363278;27,655820533636;29,4609563997153;31,2201265690772;32,9380240037944;1;0;1
"482";124;22,17;13,6895841115862;4,53915202320003;6,86693222701848;10,0075577221907;14,137011306903;19,4500785709043;2;1;2
"483";124;35,05;19,0022570153559;9,40959217662536;12,3195261537823;15,7419283832588;19,7111264545746;24,2606232768848;2;1;2
"484";124;46,68;23,3598426555265;13,9021737679856;16,846138301148;20,0627768811215;23,5505685276303;27,3081259088493;2;1;2
"485";124;61,17;28,1253301478592;18,9770757616658;21,6199296804669;24,3427623461131;27,1407767123892;30,0098276035931;1;1;1
"486";124;69,84;30,761768948419;21,6130897867672;23,9962426121963;26,391902779299;28,799046541189;31,2168090732562;1;1;1
