"idarvore";"dap";"ht";"hi";"dicc";"vcc"
35550;8,2;16,7;0,1;10,8;0,000916088417786784
35550;8,2;16,7;0,7;9,4;0,00574628712268109
35550;8,2;16,7;1,3;8,2;0,00941252574942038
35550;8,2;16,7;2;7,5;0,0128071344213487
35550;8,2;16,7;4;7;0,0210734500911068
35550;8,2;16,7;6;6,4;0,0281388919690302
35550;8,2;16,7;8;5,4;0,0336461038907732
35550;8,2;16,7;10;4,5;0,0375267562161199
35550;8,2;16,7;12;3,4;0,0400251077738872
35550;8,2;16,7;13,1782608695652;3;0,0409764230066897
35550;8,2;16,7;16,7;0;0,0418062132401922
35551;9;17,6;0,1;12,2;0,00116898662640076
35551;9;17,6;0,7;10,5;0,00727365093104011
35551;9;17,6;1,3;9;0,011779872893533
35551;9;17,6;2;8,4;0,0159460959910911
35551;9;17,6;4;7,4;0,0257887057747879
35551;9;17,6;6;6,7;0,0336151984730435
35551;9;17,6;8;5,7;0,0396926094614129
35551;9;17,6;10;4,8;0,0440539254627589
35551;9;17,6;12;3,7;0,0469386929169178
35551;9;17,6;13,6;3;0,0483643476631168
35551;9;17,6;17,6;0;0,0493068254591938
38798;15,3;26;0,1;18,7;0,00274645883758454
38798;15,3;26;0,7;16,3;0,0172460084913302
38798;15,3;26;1,3;15,3;0,0290217973144135
38798;15,3;26;2;14,7;0,0413967663963527
38798;15,3;26;4;13,3;0,0722613434215456
38798;15,3;26;6;12,2;0,0978441177978907
38798;15,3;26;8;11,5;0,11992087477283
38798;15,3;26;10;11;0,13981108326087
38798;15,3;26;12;10,4;0,157809267573286
38798;15,3;26;14;9,3;0,173097042823817
38798;15,3;26;16;8;0,184916499784785
38798;15,3;26;18;7;0,193791499031177
38798;15,3;26;20;6;0,200467383420055
38798;15,3;26;22;4,6;0,204956719322035
38798;15,3;26;23,6923076923077;3;0,206961055435025
38798;15,3;26;26;0;0,207504792625069
38800;9,5;17,4;0,1;12,4;0,00120762821603992
38800;9,5;17,4;0,7;10,3;0,00733019959880473
38800;9,5;17,4;1,3;9,5;0,0119563518608484
38800;9,5;17,4;2;9,2;0,0167638918287287
38800;9,5;17,4;4;8,3;0,0288221098313697
38800;9,5;17,4;6;7,4;0,0385335581217791
38800;9,5;17,4;8;6,7;0,0463600508200347
38800;9,5;17,4;10;5,6;0,0523487118159403
38800;9,5;17,4;12;4,6;0,0564736229701037
38800;9,5;17,4;14;3,4;0,0590434457607401
38800;9,5;17,4;14,775;3;0,0596691724775189
38800;9,5;17,4;17,4;0;0,0602876735311943
38802;17;27,2;0,1;19,8;0,00307907495978336
38802;17;27,2;0,7;18;0,0199503699873566
38802;17;27,2;1,3;17;0,0343938422122357
38802;17;27,2;2;16,3;0,0496416799661583
38802;17;27,2;4;15,6;0,0896223734739054
38802;17;27,2;6;14,4;0,125021839494555
38802;17;27,2;8;13,7;0,156048993939571
38802;17;27,2;10;12,9;0,183859942905475
38802;17;27,2;12;11,9;0,208051777134443
38802;17;27,2;14;10,7;0,228165824099052
38802;17;27,2;16;9,4;0,244097625843569
38802;17;27,2;18;8,6;0,256846208831836
38802;17;27,2;20;7,2;0,266726517727376
38802;17;27,2;22;6;0,27362545519466
38802;17;27,2;24;4;0,277709525644326
38802;17;27,2;25,3052631578947;3;0,278990964753027
38802;17;27,2;27,2;0;0,279437401603801
38803;19,2;27,3;0,1;22;0,00380132711084365
38803;19,2;27,3;0,7;20,7;0,0253013662143998
38803;19,2;27,3;1,3;19,2;0,04408329935407
38803;19,2;27,3;2;18,3;0,0634225903003953
38803;19,2;27,3;4;16,7;0,111628758773404
38803;19,2;27,3;6;16;0,15363892113537
38803;19,2;27,3;8;15;0,191416572794787
38803;19,2;27,3;10;14,2;0,224924800037976
38803;19,2;27,3;12;13,1;0,254239786486786
38803;19,2;27,3;14;12,1;0,279217018879151
38803;19,2;27,3;16;11;0,300219351166563
38803;19,2;27,3;18;9,7;0,317112480263078
38803;19,2;27,3;20;8,1;0,329655288932535
38803;19,2;27,3;22;6,6;0,338229480682345
38803;19,2;27,3;24;4,6;0,343312577595854
38803;19,2;27,3;25,8;3;0,34544446237058
38803;19,2;27,3;27,3;0;0,345797891544109
38804;21,3;27,8;0,1;24,3;0,00463769761504559
38804;21,3;27,8;0,7;22,7;0,0306920250486945
38804;21,3;27,8;1,3;21,3;0,0535230784197603
38804;21,3;27,8;2;20,3;0,0773224491864788
38804;21,3;27,8;4;18,9;0,137743129896645
38804;21,3;27,8;6;17,7;0,190404076752443
38804;21,3;27,8;8;16,9;0,237441572758317
