"idfustemed";"ntorasisc";"sdtorasisc";"dminisc";"toraminisc";"vtocoi";"vprodisc";"vti"
4903;4;47,7968261732667;5,52065706610198;4,70000000000001;0,00267978346377956;0,268815880583565;0,275168805144641
4904;3;29,002602103956;5,76189992753768;5,6;0,00149440192286839;0,129845690569062;0,138176389275001
4905;4;51,2366829133742;5,61885017160995;5,30000000000001;0,0030534211894777;0,311689570708402;0,318289391450439
4906;4;43,0506684429037;5,68430544581146;3,2;0,00220557203430086;0,212441324840458;0,219430847862415
4907;4;49,7414421644389;5,66101469801131;5,00000000000001;0,00287915772476338;0,292151245260926;0,298859709508183
4908;4;40,2653268054582;5,69113046377924;2,3;0,0019502624790838;0,182803899023631;0,190059299648776
4909;4;51,4467568705423;6,66841984992407;5,6;0,00285102265447688;0,310307848897428;0,321094160314675
4910;5;61,129063945711;5,70453482762403;2,3;0,00309152556126967;0,353269839285548;0,360523026307041
4911;5;70,2057031111132;5,66233373512995;3,5;0,00404294339805646;0,472229003365847;0,479544468557574
4912;5;64,357546390336;5,71917425248586;2,9;0,00338769856862888;0,393153588664087;0,400471623959984
4913;4;49,1606275767098;6,59083862849519;5,6;0,00256026503819535;0,282330574158973;0,293458541360157
4914;5;63,3149508180871;5,62408550750683;2,6;0,00332942472319468;0,381240188615659;0,388266004365385
4915;4;52,2374050109454;7,04704092389926;5,6;0,00288144391607323;0,318559502152428;0,331422554941209
4916;5;72,0130515593559;5,50062012680673;4,40000000000001;0,00414737091945574;0,498065482461883;0,505177015847862
4917;5;60,895998903998;5,60995935604184;2,9;0,00299168148024463;0,350128160559089;0,357240198411028
4918;4;50,4312351538216;6,67422169897991;5,6;0,00271205510033223;0,297528331437379;0,308691286203017
4919;5;63,10234496447;5,53513049613819;2,9;0,00327222333801466;0,378669885772272;0,385514516326395
