"idfustemed";"ntorasicc";"sdtorasicc";"dminicc";"toraminicc";"vtocoi";"vprodicc";"vti"
5002;4;47,4621184531105;8,42572227499271;3,3;0,00213427478686127;0,150694027147068;0,174737636289445
5003;5;62,9044911785244;7,69102594982526;3,3;0,00270542374866512;0,21539773488817;0,23145886462399
5004;4;44,3935074913453;7,74788370271854;3,3;0,00189490017356624;0,132107972480706;0,151442179246436
5005;5;59,0097108012648;7,6502917661897;2,3;0,00239686955759164;0,183891258628687;0,200648886253789
5006;4;42,0096486310468;7,58142017069276;2,6;0,00170501377109397;0,11441284979038;0,133190515598777
5007;5;58,1299696399063;7,67724458735706;2;0,002328318223597;0,176691271914093;0,193881648380578
5008;3;31,6728152568708;8,44546709270741;3,3;0,00152434592461807;0,088733926071327;0,116102952138243
5009;4;47,0984734262455;8,3455749014818;3,3;0,00210509950787128;0,148426407603685;0,171883995817887
5010;5;61,2183671371487;7,6602556276344;2,9;0,00257001223728423;0,201624028424044;0,217887000581132
5011;4;46,285911102602;8,16546410509425;3,3;0,00204087691285363;0,143424444555496;0,165588246017676
5012;5;58,1299696399063;7,67724458735706;2;0,002328318223597;0,176691271914093;0,193881648380578
5013;4;44,0635511055775;7,67487052952145;3,3;0,00187006467697109;0,130183514687303;0,149044221010659
5014;5;58,2998767093798;7,53100773076392;2,3;0,00234709169482285;0,179629760841421;0,195704161557638
5015;4;42,5178197280935;7,54120872223459;2,9;0,00174748921383666;0,118972243816257;0,137280583493272
5016;4;47,0984734262455;8,3455749014818;3,3;0,00210509950787128;0,148426407603685;0,171883995817887
5017;4;40,8759586575362;7,63093543518921;2;0,00161341628403747;0,104957501571948;0,124490830953684
5018;4;44,9956197155552;7,88158922530435;3,3;0,0019405591463943;0,135655703357485;0,155877151887975
5019;4;43,1073559799543;7,67292871497812;2,9;0,00179047900528261;0,122227181460043;0,141382897418751
5020;4;45,9440793375683;8,08962816414658;3,3;0,0020141813414548;0,141346294669773;0,162977363044269
5021;5;58,9043703312213;7,66985281032155;2,3;0,00237905341556519;0,183068545860246;0,200120880917701
5022;4;44,8990595485753;8,11664553965382;3,3;0,00188004073601199;0,134576055900031;0,158145002457837
5023;5;65,0041264096818;8,22654333742625;3,3;0,00281360558751344;0,228950978244936;0,24910440946266
5024;5;63,4037170654927;8,02400485941306;3,3;0,00267676844511087;0,217816156167405;0,236989443633041
5025;4;46,8847154401613;8,47560328170391;3,3;0,00205000697923435;0,146742487302752;0,172442199022401
5026;5;63,0764591582582;7,91855022036293;3,3;0,0026659878657584;0,215807375469816;0,23407201881116
5027;5;62,1649052399549;8,34951074230185;3,3;0,00245124097104642;0,20775505754941;0,232363309242017
