"arvore";"cap";"ht";"hi";"dicc";"espcasca"
1097;42,69;23,15;16,9;6,27;0,1725
1097;42,69;23,15;18,1;5,51;0,1455
1167;39,49;19,9;18,1;2,64;0,119
1167;39,49;19,9;19,3;0,95;0,071
1097;42,69;23,15;19,3;4,77;0,147
1097;42,69;23,15;20,5;3,72;0,137
1097;42,69;23,15;21,7;2,67;0,122
1097;42,69;23,15;22,48;1,11;0,059
1168;21,99;12,9;0,1;9,49;0,566
1168;21,99;12,9;0,7;7,23;0,349
1168;21,99;12,9;1,3;7;0,294
1168;21,99;12,9;2,5;6,27;0,241
1168;21,99;12,9;3,7;5,79;0,155
1168;21,99;12,9;4,9;5,41;0,172
1168;21,99;12,9;6,1;4,93;0,133
1168;21,99;12,9;7,3;4,52;0,116
1168;21,99;12,9;8,5;3,88;0,128
1168;21,99;12,9;9,7;3,47;0,116
1168;21,99;12,9;10,9;2,74;0,113
1168;21,99;12,9;12,1;1,08;0,093
1099;40,72;22,5;0,1;16,17;0,935
1169;45,99;24,2;0,1;17,67;0,678
1099;40,72;22,5;0,7;13,4;0,662
1169;45,99;24,2;0,7;15,22;0,405
1099;40,72;22,5;1,3;12,96;0,458
1169;45,99;24,2;1,3;14,64;0,322
1099;40,72;22,5;2,5;12,1;0,45
1169;45,99;24,2;2,5;14,01;0,252
1099;40,72;22,5;3,7;11,62;0,345
1169;45,99;24,2;3,7;13,15;0,251
1099;40,72;22,5;4,9;11,24;0,2835
1169;45,99;24,2;4,9;12,8;0,239
1099;40,72;22,5;6,1;10,82;0,29
1169;45,99;24,2;6,1;12,25;0,239
1099;40,72;22,5;7,3;10,03;0,249
1169;45,99;24,2;7,3;11,87;0,225
1169;45,99;24,2;8,5;11,27;0,216
1099;40,72;22,5;8,5;9,55;0,245
1099;40,72;22,5;9,7;9,33;0,2195
1169;45,99;24,2;9,7;10,82;0,192
1099;40,72;22,5;10,9;8,69;0,198
1169;45,99;24,2;10,9;10,31;0,171
1099;40,72;22,5;12,1;8,18;0,201
1169;45,99;24,2;12,1;10,09;0,188
1169;45,99;24,2;13,3;9,14;0,184
1099;40,72;22,5;13,3;7,61;0,2185
1099;40,72;22,5;14,5;7,07;0,179
1169;45,99;24,2;14,5;8,82;0,162
1099;40,72;22,5;15,7;6,33;0,1705
1169;45,99;24,2;15,7;7,86;0,154
1169;45,99;24,2;16,9;7,16;0,155
1099;40,72;22,5;16,9;5,73;0,1665
1169;45,99;24,2;18,1;6,53;0,165
1099;40,72;22,5;18,1;5,06;0,1415
1099;40,72;22,5;19,3;4,14;0,1925
1169;45,99;24,2;19,3;5,83;0,149
1099;40,72;22,5;20,5;2,32;0,1445
1169;45,99;24,2;20,5;4,87;0,169
1169;45,99;24,2;21,7;3,98;0,172
1099;40,72;22,5;21,7;1,88;0,0885
1099;40,72;22,5;22,1;0,7;0,0475
1169;45,99;24,2;22,9;2,55;0,097
1169;45,99;24,2;23,7;0,92;0,049
1100;62,02;24,7;0,1;21,39;1,1305
1170;22,49;13,3;0,1;8,66;0,526
1170;22,49;13,3;0,7;7,58;0,311
1100;62,02;24,7;0,7;20,24;0,949
1100;62,02;24,7;1,3;19,74;0,85
1170;22,49;13,3;1,3;7,16;0,254
1100;62,02;24,7;2,5;18,78;0,6365
1170;22,49;13,3;2,5;6,68;0,154
1170;22,49;13,3;3,7;6,27;0,156
1100;62,02;24,7;3,7;18,46;0,714
1170;22,49;13,3;4,9;5,79;0,141
1100;62,02;24,7;4,9;17,83;0,5755
1100;62,02;24,7;6,1;16,93;0,489
1170;22,49;13,3;6,1;5,38;0,165
1170;22,49;13,3;7,3;5;0,153
1100;62,02;24,7;7,3;16,33;0,4725
1100;62,02;24,7;8,5;15,15;0,3875
1170;22,49;13,3;8,5;4,46;0,133
1170;22,49;13,3;9,7;3,79;0,101
1100;62,02;24,7;9,7;14,64;0,369
1170;22,49;13,3;10,9;3,02;0,084
1100;62,02;24,7;10,9;14,04;0,3575
1170;22,49;13,3;12,1;1,91;0,083
1100;62,02;24,7;12,1;13,37;0,369
1170;22,49;13,3;12,8;0,89;0,063
1100;62,02;24,7;13,3;12,64;0,3655
1100;62,02;24,7;14,5;12,29;0,4255
1100;62,02;24,7;15,7;11,14;0,363
1100;62,02;24,7;16,9;10,28;0,356
1100;62,02;24,7;18,1;9,58;0,3405
1100;62,02;24,7;19,3;8,59;0,3555
1100;62,02;24,7;20,5;7,26;0,331
1100;62,02;24,7;21,7;5,54;0,276
1100;62,02;24,7;22,9;3,53;0,189
1100;62,02;24,7;24,1;0,16;0,109
1100;62,02;24,7;24,3;0,1;0,0785
1101;57,4;22,97;0,1;22,98;1,546
1171;58,5;25,8;0,1;21,96;0,878
1101;57,4;22,97;0,7;19,35;1,0035
1171;58,5;25,8;0,7;19,1;0,643
1171;58,5;25,8;1,3;18,62;0,591
1101;57,4;22,97;1,3;18,27;0,907
1171;58,5;25,8;2,5;17,6;0,43
1101;57,4;22,97;2,5;17,67;0,7205
1171;58,5;25,8;3,7;16,55;0,368
1101;57,4;22,97;3,7;16,71;0,6685
1171;58,5;25,8;4,9;16,33;0,367
1101;57,4;22,97;4,9;16,55;0,4995
1171;58,5;25,8;6,1;15,92;0,372
1101;57,4;22,97;6,1;15,28;0,4525
1101;57,4;22,97;7,3;14,67;0,4145
1171;58,5;25,8;7,3;15,28;0,384
1171;58,5;25,8;8,5;14,96;0,346
1101;57,4;22,97;8,5;14,23;0,4125
1171;58,5;25,8;9,7;14,23;0,34
1101;57,4;22,97;9,7;13,62;0,387
1101;57,4;22,97;10,9;12,67;0,357
1171;58,5;25,8;10,9;13,43;0,321
1101;57,4;22,97;12,1;12,03;0,327
1171;58,5;25,8;12,1;12,73;0,308
1101;57,4;22,97;13,3;11,14;0,3305
1171;58,5;25,8;13,3;12,38;0,339
1101;57,4;22,97;14,5;10,82;0,342
1171;58,5;25,8;14,5;11,2;0,349
1101;57,4;22,97;15,7;9,61;0,317
1171;58,5;25,8;15,7;10,7;0,303
1171;58,5;25,8;16,9;10,09;0,308
1101;57,4;22,97;16,9;8,85;0,3325
1101;57,4;22,97;18,1;7,51;0,301
1171;58,5;25,8;18,1;8,91;0,26
1101;57,4;22,97;19,3;6,02;0,2285
1171;58,5;25,8;19,3;7,96;0,269
1101;57,4;22,97;20,5;4,2;0,224
1171;58,5;25,8;20,5;7,32;0,287
1171;58,5;25,8;21,7;6,37;0,266
1101;57,4;22,97;21,7;2,55;0,1845
1101;57,4;22,97;22,5;0,76;0,094
1171;58,5;25,8;22,9;4,71;0,197
1171;58,5;25,8;24,1;3,02;0,144
1171;58,5;25,8;25,3;0,95;0,107
