"idamostra";"idade1";"hdom1";"licl5";"lscl5";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
43;48,55;20,42;16,2438059608;18,4272720508551;20,6811654326824;23,001734843529;25,3857012174981;27,830168779044;4;1;4
43;62,19;22,64;19,8770009834855;22,0574762139801;24,2613752166342;26,4870064560567;28,7329198502989;30,9978576531963;4;1;4
44;48,55;19,34;16,2438059608;18,4272720508551;20,6811654326824;23,001734843529;25,3857012174981;27,830168779044;4;1;4
44;62,19;21,88;19,8770009834855;22,0574762139801;24,2613752166342;26,4870064560567;28,7329198502989;30,9978576531963;5;1;5
45;26,64;10,94;8,19003882633676;10,011984901332;12,0318891312156;14,2524969227084;16,6763717808543;19,3059198392716;4;0;4
45;40,47;15,8;13,633612289289;15,7647783937641;18,0052499339529;20,3510356831143;22,798587372628;25,3447222092467;4;0;4
46;40,47;18,14;13,633612289289;15,7647783937641;18,0052499339529;20,3510356831143;22,798587372628;25,3447222092467;3;0;3
47;26,58;9,48;8,16370599566848;9,9833026415367;12,0012792797425;14,2204519145478;16,6434507858719;19,2727453723361;5;0;5
47;40,41;14,08;13,6127444994373;15,7432805458498;17,9834475542816;20,329258607359;22,7771687440623;25,3239977042494;5;0;5
48;26,58;12,72;8,16370599566848;9,9833026415367;12,0012792797425;14,2204519145478;16,6434507858719;19,2727453723361;3;0;3
48;40,41;18,76;13,6127444994373;15,7432805458498;17,9834475542816;20,329258607359;22,7771687440623;25,3239977042494;3;0;3
49;26,54;13,14;8,14613934182897;9,96416306755799;11,9808479473828;14,1990573585313;16,621466343208;19,2505869250109;3;0;3
49;40,37;18,88;13,5988198545505;15,728933475529;17,9688953911901;20,3147216242093;22,7628694781558;25,3101604348102;3;0;3
50;26,22;9,16;8,00528011994162;9,81052746739455;11,8166830369517;14,0269981861322;16,4445155205036;19,0720966614739;5;1;5
50;40,05;15,74;13,487053646093;15,613718422336;17,8519792418524;20,1978776128642;22,6478906997301;25,1988554795777;4;1;4
51;40,05;15,63;13,487053646093;15,613718422336;17,8519792418524;20,1978776128642;22,6478906997301;25,1988554795777;4;0;4
52;26,35;10,96;8,0625736812012;9,87305304777956;11,8835282907418;14,0970912065561;16,5166330997617;19,1448715671784;4;1;4
52;40,18;18,08;13,5325378944175;15,6606187357883;17,8995836478443;20,2454633602192;22,6947265913447;25,2442036855495;3;1;3
53;40,18;18,06;13,5325378944175;15,6606187357883;17,8995836478443;20,2454633602192;22,6947265913447;25,2442036855495;3;0;3
54;40,18;16,1;13,5325378944175;15,6606187357883;17,8995836478443;20,2454633602192;22,6947265913447;25,2442036855495;4;0;4
55;41,33;19,76;13,9302018831611;16,0699375025987;18,3143748030976;20,6594735909468;23,1016495103957;25,6376935545876;3;1;3
55;55,62;22,46;18,2345919613143;20,4262737050054;22,661524426487;24,9375485925568;27,2519296739339;29,6025554859053;4;1;4
55;69,25;24,64;21,4527652400597;23,6086897931324;25,7704944656376;27,9377130798326;30,1099489347093;32,2868602799369;4;1;4
56;55,62;19,18;18,2345919613143;20,4262737050054;22,661524426487;24,9375485925568;27,2519296739339;29,6025554859053;5;0;5
56;69,25;22,16;21,4527652400597;23,6086897931324;25,7704944656376;27,9377130798326;30,1099489347093;32,2868602799369;5;0;5
57;40,37;19,88;13,5988198545505;15,728933475529;17,9688953911901;20,3147216242093;22,7628694781558;25,3101604348102;3;0;3
57;54,66;23,18;17,9786718384529;20,1706876866701;22,4095784763597;24,6923987060772;27,016598734173;29,3799472184731;3;0;3
57;68,3;26,16;21,2510340444923;23,4108149567913;25,5786229692636;27,7538286921626;29,9358960477855;32,1243628261106;3;0;3
58;40,37;18,74;13,5988198545505;15,728933475529;17,9688953911901;20,3147216242093;22,7628694781558;25,3101604348102;3;2;3
58;54,66;20,92;17,9786718384529;20,1706876866701;22,4095784763597;24,6923987060772;27,016598734173;29,3799472184731;4;2;4
58;68,3;23,22;21,2510340444923;23,4108149567913;25,5786229692636;27,7538286921626;29,9358960477855;32,1243628261106;5;2;5
59;54,66;22,42;17,9786718384529;20,1706876866701;22,4095784763597;24,6923987060772;27,016598734173;29,3799472184731;3;1;3
59;68,3;24,82;21,2510340444923;23,4108149567913;25,5786229692636;27,7538286921626;29,9358960477855;32,1243628261106;4;1;4
60;54,66;24,34;17,9786718384529;20,1706876866701;22,4095784763597;24,6923987060772;27,016598734173;29,3799472184731;3;0;3
60;68,3;26,02;21,2510340444923;23,4108149567913;25,5786229692636;27,7538286921626;29,9358960477855;32,1243628261106;3;0;3
61;32,23;17,38;10,544638703014;12,5397056846059;14,6940445732837;17,0058355159097;19,4734200761953;22,095276223675;2;1;2
61;45,86;22,08;15,4173508648458;17,589694025044;19,844353769496;22,1773541151484;24,5852020107444;27,0647983221995;3;1;3
62;18,4;11,98;4,44274005876457;5,80602368695345;7,41685455394538;9,29447307622859;11,4579325722275;13,9261150406312;1;1;1
62;32,69;16,72;10,7291886186429;12,7350327583902;14,8970949086042;17,2133223422561;19,6818475281477;22,3009591829482;3;1;3
62;46,32;20,42;15,5615657897548;17,7361958533031;19,9910381846182;22,3221473093509;24,7260600910236;27,1997064845462;3;1;3
63;21,81;14,1;6,01419467970138;7,60412854554459;9,42444244081039;11,4856493274469;13,7978614757881;16,3708344152755;1;1;1
63;36,79;19,56;12,3103650965792;14,3941992566622;16,6083602079326;18,9493786982;21,4141399996277;23,9998246897685;2;1;2
63;48,82;23,68;16,3245493950958;18,5088491323313;20,762437057891;23,0815900188057;25,4630550771617;27,9039608003059;2;1;2
63;59,95;28,06;19,337523419801;21,5233634121876;23,7390375003395;25,9824676469287;28,2518676991505;30,5456846099885;2;1;2
64;21,81;13,48;6,01419467970138;7,60412854554459;9,42444244081039;11,4856493274469;13,7978614757881;16,3708344152755;2;1;2
64;36,79;19,02;12,3103650965792;14,3941992566622;16,6083602079326;18,9493786982;21,4141399996277;23,9998246897685;2;1;2
64;48,82;22,48;16,3245493950958;18,5088491323313;20,762437057891;23,0815900188057;25,4630550771617;27,9039608003059;3;1;3
64;59,95;26,2;19,337523419801;21,5233634121876;23,7390375003395;25,9824676469287;28,2518676991505;30,5456846099885;2;1;2
65;36,79;18,4;12,3103650965792;14,3941992566622;16,6083602079326;18,9493786982;21,4141399996277;23,9998246897685;3;1;3
65;48,82;23,29;16,3245493950958;18,5088491323313;20,762437057891;23,0815900188057;25,4630550771617;27,9039608003059;2;1;2
65;59,95;26,74;19,337523419801;21,5233634121876;23,7390375003395;25,9824676469287;28,2518676991505;30,5456846099885;2;1;2
66;22,08;14,12;6,13818046864782;7,74362526048984;9,5777949352159;11,6506400690916;13,971713229169;16,5502133001431;1;1;1
66;37,09;19,62;12,4215891711415;14,509998894334;16,7269413346672;19,0688824473259;21,5326520822883;24,115382946378;2;1;2
66;49,11;23,88;16,4108356262851;18,5959775780035;20,8491949306597;23,1667957008434;25,5455558239481;27,9826306910051;2;1;2
66;60,25;28,3;19,4109593867704;21,5961637705342;23,8103176600603;26,0513944062191;28,3176526637076;30,6075788569275;2;1;2
67;37,09;17,34;12,4215891711415;14,509998894334;16,7269413346672;19,0688824473259;21,5326520822883;24,115382946378;3;1;3
67;49,11;22,5;16,4108356262851;18,5959775780035;20,8491949306597;23,1667957008434;25,5455558239481;27,9826306910051;3;1;3
67;60,25;26,82;19,4109593867704;21,5961637705342;23,8103176600603;26,0513944062191;28,3176526637076;30,6075788569275;2;1;2
68;30,49;16,82;9,83358928200473;11,783574409304;13,9046125595031;16,195934023031;18,6568326299737;21,286656254676;2;1;2
68;41,79;20,3;14,0869275693373;16,2309044190985;18,4771678905573;20,821660913047;23,2607880388579;25,7913335366494;3;1;3
69;30,49;15,23;9,83358928200473;11,783574409304;13,9046125595031;16,195934023031;18,6568326299737;21,286656254676;3;1;3
69;41,79;18,68;14,0869275693373;16,2309044190985;18,4771678905573;20,821660913047;23,2607880388579;25,7913335366494;3;1;3
69;55,22;21,5;18,1284800354036;20,3203481377078;22,5571505898756;24,8360288435549;27,1545105051775;29,5104334368561;4;1;4
69;67,18;24,24;21,0092480697744;23,1733805814607;25,3481519176559;27,5327391581778;29,7264406122603;31,9286506593514;4;1;4
70;30,49;16,76;9,83358928200473;11,783574409304;13,9046125595031;16,195934023031;18,6568326299737;21,286656254676;2;2;2
